iter	Logloss
0	0.6930351334
1	0.6929962661
2	0.6928250327
3	0.69277732054	0.6924613356
5	0.6923868963
6	0.6922013314
7	0.6920869905
8	0.691969876
9	0.6917806154
10	0.6917068233
11	0.6916375401
12	0.691460477
13	0.6913887592
14	0.6912721775
15	0.6911373077
16	16	0.6915178441
17	0.6914365398
18	0.6913161776
19	0.6912399975
20	0.6911761725
21	0.69106862022	0.6903569257
23	0.6902561363
24	0.6900573891
25	0.6900308352
26	0.6898797938
27	0.6898188246
28	0.689649229	0.6899939571
30	0.6898953655
31	0.6898049382
32	0.6897674705
33	0.6896377262
34	0.6894642122
35	0.68938565
36	0.6893343793
37	0.6892953138
38	0.6892408626
39	0.6891767883
40	0.6891168723
41	0.6890476243
42	0.6890116735
43	0.6889831416
44	0.6888491788
45	0.6886815559
46	0.6886029918
47	0.6884708788
48	0.6882814158
49	0.6881849609
50	0.6880820194
51	0.6878639292
52	0.6878014318
53	0.6877343589
54	0.6875795473
55	0.6875239419
56	0.6874954108
57	0.6874079348
58	0.6873224142
59	0.6872875959
60	0.6871916389
61	0.6871239948
62	0.6870060918
63	0.6869699351
64	0.6868506476
65	0.6867109675
66	0.6866293711
67	0.6865389335
68	0.6864603093
69	0.6864175156
770	0.6857947734
71	0.6857359587
72	0.6856468542
73	0.6855960675
74	0.6855233036
75	0.6854525324
76	0.6854131898
77	0.6853587592
78	0.6852770563
79	0.6850893391
80	0.6849920928
81	0.6849310576
82	0.6848125173
83	0.6847210784
84	0.6846419377
85	0.6845897845
86	0.6845344999
87	0.6845061459
88	0.6844459078
89	0.6843728592
90	0.6843055042
91	0.6842616636
992	0.6838734915
93	0.6837924974
94	0.6837751012
95	0.6836528411
96	0.683543387
97	0.6834980971
98	0.6834125127
99	0.6833462465
100	0.6833167701
101	0.6832695897
102	0.6832603507
103	0.683197527
104	0.6830948951
105	0.6829704715
106	0.6829690705
107	0.6829224879
108	0.6826575564
109	0.6825554301
110	0.682518253
111	0.6824356251
112	0.6823760968
113	0.6822318343
114	0.6821862063
115	0.6821404917
116	0.6820305357
117	0.6819900275
118	0.6819065629
119	0.6817596529
120	0.681503579
121	0.6813501848
122	0.6812564272
123	0.6812077538
124	0.6811594997
125	0.681153895
126	0.68110127	0.6806353129
128	0.6805185478
129	0.680458555
130	0.6803637411
131	0.680240801
132	0.6801990944
133	0.6800619854
134	0.6799542389
135	0.6798606419
136	0.6797946452
137	0.6797483399
138	0.6797062315
139	0.6795279917
140	0.6793631274
141	0.141	0.6798183961
142	0.6797021157
143	0.6796635159
144	0.6796418573
145	0.6795820571
146	0.6795021015
147	0.6794219524
148	0.6793617464
149	0.6793091908
150	0.6792055371
151	0.6791884098
152	0.6791175515
153	0.6790791883
154	0.6789937608
155	0.6789169779
156	0.6788534013
157	0.6787925291
158	0.6787290999
159	0.6786012565
160	0.6785155941
161	0.6783927535
162	0.6783596922
163	0.6782582709
164	0.6782291775
165	0.6781510184
166	0.6781218018
167	0.6780518815
168	0.6779978571
169	0.6779433626
170	0.6778661148
171	0.6777813887
172	0.6777118669
173	0.677662327
174	0.6776278977
175	0.6775902012
176	0.6774901839
177	0.6773814937
178	0.6773302093
179	0.6773174381
180	0.6772636881
181	0.6772158657
182	0.6771640434
183	0.6184	0.6761370191
185	0.6760977108
186	0.6760295114
187	0.6759586147
188	0.6758362204
189	0.6757826694
190	0.6757027904
191	0.6756639999
192	0.6755999699
193	0.675493639
194	0.6754255068
195	0.6753746734
196	0.6752692203
197	0.6751823943
198	0.6750916268
199	0.6750179738
200	0.6749200	0.6760673515
201	0.6760244287
202	0.6759975988
203	0.6759219081
204	0.6205	0.6745778004
206	0.6744731803
207	0.6744209016
208	0.6743606719
209	0.6743280953
210	0.6742454922
211	0.6742341355
212	0.6742196631
213	0.674200641
214	0.6741312252
215	0.6740553734
216	0.6740040959
217	0.6739687575
218	0.6739199975
219	0.6738864722
220	0.6738501279
221	0.6737803838
222	0.6737423455
223	0.673223	0.67224	0.6736773803
225	0.6736399683
226	0.673522943
227	0.6735046448
228	0.6734281585
229	0.6733130141
230	0.6732869174
231	0.6732057697
232	0.6731640567
233	0.673109883
234	0.6729618923
235	0.6729365794
236	0.6728459234
237	0.6728226271
238	0.6727800716
239	0.6726634672
240	0.6726343075
241	0.6725823283
242	0.6725623997
243	0.6725340861
244	0.67244	0.6731981285
245	0.673246	0.6722925886
247	0.6722072153
248	0.6721370899
249	0.6720627495
250	0.6720165258
251	0.6719672758
252	0.6718512768
253	0.6718434656
254	0.6716980845
255	0.6715405629
256	0.6714437968
257	0.6712960515
258	0.6712674345
259	0.6712232388
260	0.671146796
261	0.6710873028
262	0.6710403537
263	0.6709849524
264	0.6709503646
265	0.6708094662
266	0.6707813028
267	0.6707057662
268	0.6706764965
269	0.6705983896
270	0.6705616566
271	0.6705351187
272	0.6704784926
273	0.670399624
274	0.6703830845
275	0.6703191598
276	0.6702927082
277	0.6702140987
278	0.6701136449
279	0.6700581743
280	0.6700187911
281	0.6699666738
282	0.669889292
283	0.6698216671
284	0.6697686605
285	0.6697600706
286	0.6697313727
287	0.6695750722
288	0.6695128702
289	0.6694152183
290	0.6693936824
291	0.6693754284
292	0.6693282836
293	0.6693033888
294	0.6692848618
295	0.669244329
296	0.6691871871
297	0.6691595534
298	0.6691136845
299	0.6690665331
300	0.6690187993
301	0.6689954402
302	0.6689692233
303	0.6689497971
304	0.6688946823
305	0.6688431226
306	0.6687987754306	0.67086461308	0.6665386371
309	0.66635166
310	0.6662782128
311	0.6662254903
312	0.6662066445
313	0.6660982958
314	0.6660574159
315	0.6660153973
316	0.6659203145
317	0.6658806872
318	0.6658265982
319	0.6657766086
320	0.6657439275
321	0.6655920228
322	0.6654784929
323	0.6654458686
324	0.6654178562
325	0.6653052373
326	0.665223933
327	0.6651805479
328	0.6651126805
329	0.665025284
330	0.6648824891
331	0.6648616506
332	0.6648417231
333	0.6648298235
334	0.6647694146
335	0.6646717698
336	0.6646482553
337	0.6645235659
338	0.664480978
339	0.6644096944
340	0.6642836386
341	0.6642594978
342	0.6641920289
343	0.6641647567
344	0.6641486438
345	0.6641344668
346	0.6641018426
347	0.6640688199
348	0.6640101191
349	0.6640016926
350	0.6639866615
351	0.6639449845
352	0.663880761
353	0.663841703
354	0.6637729246
355	0.6636662839
356	0.6635774072
357	0.6635538357
358	0.6635086287
359	0.6634799331
360	0.6634478213
361	0.663440135
362	0.6634164497
363	0.6633338359
364	0.6633069622
365	0.6631863722
366	0.6631119002
367	0.6629929044
368	0.6629248662
369	0.6628822213
370	0.6627542866
371	0.662745063
372	0.6627078839
373	0.6626835154
374	0.6626545351
375	0.6626441158
376	0.6626130289
377	0.6625441366
378	0.6624665901
379	0.6624113624
380	0.6623777703
381	0.6623125788
382	0.6622668024
383	0.6621323771
384	0.6620967353
385	0.662068609
386	0.6619891266
387	0.6619641888
388	0.6619546805
389	0.6619517768
390	0.6617903069
391	0.6617761868
392	0.6616725637
393	0.6616144892
394	0.661582719
395	0.6615531124
396	0.6614971446
397	0.6614215908
398	0.6613824759
399	0.6613569117
400	0.6613378952
401	0.6613226933
402	0.6612865391
403	0.6612696292
404	0.6611959543
405	0.6611920257
406	0.6611755143
407	0.6611445982
408	0.6611148208
409	0.6611033198
410	0.6610829368
411	0.6610444482
412	0.6610338581
413	0.6609884234
