iter	Passed	Remaining
0	9	9629
1	11	56912	11	3744
3	13	3252
4	14	24	72	14331
5	73	12162
6	74	10615
7	76	9524
8	78	8608
9	79	7867
10	80	7263
11	82	6765
12	83	6344
13	86	6067
14	87	5744
1516	65	3770
17	69	3781
18	70	3657
19	72	3541
20	73	3427
21	74	3323
222	81	3474223	83	3391224	84	3305225	86	3231226	87	3162
27	89	3096228	90	3042
29	92	2984330	29	159	5170
30	207	6496
31	209	6327
32	210	6170
33	211	6021
34	214	5912
35	215	5780
36	217	5654
37	218	5534
38	219	5418
39	221	5307
40	222	5203
41	223	5104
42	225	5009
43	226	4917
44	227	4830
45	229	4756
46	232	4709
47	234	4659
48	238	4632
49	240	4563
50	241	4493
51	245	4469
52	246	4408
53	270	4743
54	272	4675
55	273	4610
56	275	4552
57	276	4493
58	278	4434
59	279	4382
60	281	4327
61	282	4272
62	283	4222
63	285	4172
64	288	4148
65	290	4106
66	291	4063
67	294	4029
68	29570	343	4495
71	349	4501
72	351	4465
73	353	4418
74	354	4371
75	355	4325
76	357	4284
77	359	4246
78	360	4204
79	362	4163
80	363	4127
81	365	4089
82	366	4052
83	368	4014
84	369	3978
85	370	3942
86	372	3908
87	373	3873
88	375	3839
89	376	3807
90	377	3774
91	379	3744
92	392	416	4060
93	418	4030
94	419	3997
95	421	3965
96	422	3934
97	425	3915
98	429	3905
99	431	3884
100	433	3856
101	434	3827
102	436	3799
103	439	3783
104	440	3756
105	442	3729
106	443	3697
107	444	3672
108	446	3646
109	447	3621
110	449	3596
111	450	3572
112	452	3549
113	453	3525
114	455	3502
115	489	3727
116	490	3702
117	492	3684
118	494	3659
119	495	3635
120	497	3610
121	499	3593
122	500	3570
123	502	3548
124	508	3560
125	510	3538
1127	500	3410
128	502	3391
129	503	3372
130	505	3353
131	506	3333
132	508	3312
133	509	3293
134	511	3277
135	513	3259
136	514	3240
137	515	3222
138	517	3204
139	518	3186
140	520	3169
141	521	3151141	582	3518
142	583	3499
143	585	3479
144	586	3458
145	587	3438
146	628	3649
147	630	3630
148	632	3610
149	633	3591
150	635	3572
151	637	3553
152	638	3534
153	639	3515
154	641	3496
155	644	3487
156	646	3469
157	647	3451
158	650	3438
