iter	RMSE
0	3.923255858
1	3.827509619
2	3.750380118
3	3.668981328
4	3.59374036
5	3.520130763
6	3.437839477
7	3.3547674
8	3.28375044
9	3.211625255
10	3.148027055
11	3.076002971
12	3.003554919
13	2.935213352
14	2.871594073
15	2.810898297
16	2.759730299
17	2.698851561
18	2.641758679
19	2.584504123
20	2.53013364
21	2.47742237
22	2.425114122
23	2.368317294
24	2.320308092
25	2.270561046
26	2.224650788
27	2.176410537
28	2.134191864
29	2.091321468
30	2.048342616
31	2.007381991
32	1.967711745
33	1.9245616
34	1.890838655
35	1.84918144
36	1.811398931
37	1.771538977
38	1.738644288
39	1.70045535
40	1.663955471
41	1.632531147
42	1.596720704
43	1.566979408
44	1.532576738
45	1.500345926
46	1.468322464
47	1.436679315
48	1.40586983
49	1.37686197
50	1.346416121
51	1.320388204
52	1.297207766
53	1.272161598
54	1.247968734
55	1.222766564
56	1.201227418
57	1.177907945
58	1.154607257
59	1.131344391
60	1.110680637
61	1.089709485
62	1.071219827
63	1.049766036
64	1.031833325
65	1.013830601
66	0.9945036022
67	0.9785659244
68	0.9617023844
69	0.9444846627
70	0.9275655764
71	0.9112444155
72	0.8954829436
73	0.8807756186
74	0.8661548887
75	0.8504366868
76	0.8355754046
77	0.8223785738
78	0.8102086051
79	0.7980021805
80	0.7846322556
81	0.7720206439
82	0.7585467515
83	0.7469052582
84	0.7358705842
85	0.7248385624
86	0.7131677018
87	0.7019146315
88	0.6913644293
89	0.6825688806
90	0.6729248525
91	0.6623813251
92	0.6535027464
93	0.6437260686
94	0.6353538204
95	0.6272753653
96	0.6175735756
97	0.6103314377
98	0.6008566023
99	0.5936350716
100	0.5868072484
101	0.579167868
102	0.5714968891
103	0.5636961658
104	0.5577637291
105	0.5502769915
106	0.5439372083
107	0.5375825477
108	0.5315698775
109	0.5243201499
110	0.5175981421
111	0.5111605108
112	0.5048101376
113	0.4990589871
114	0.4932120708
115	0.4882332409
116	0.4831002936
117	0.4781831943
118	0.4734448863
119	0.4689393237
120	0.4647585328
121	0.4603161546
122	0.4558787718
123	0.4520362279
124	0.4483830879
125	0.4447908004
126	0.4403746185
127	0.4367865504
128	0.4329590953
129	0.4287881591
130	0.4249198504
131	0.4215929001
132	0.4177251324
133	0.4140207963
134	0.4104345095
135	0.4074416538
136	0.4042283619
137	0.4011945028
138	0.3986085565
139	0.396050811
140	0.393588858
141	0.3907073979
142	0.3878001847
143	0.3855006628
144	0.383108176
145	0.3802336763
146	0.3774235161
147	0.3756768028
148	0.3735362412
149	0.3711728362
150	0.3687585594
151	0.3667896502
152	0.3648696989
153	0.3623889201
154	0.3604163376
155	0.358062898
156	0.356165977
157	0.3546627771
158	0.3528129769
159	0.3510504327
160	0.3494681098
161	0.3477691724
162	0.3459478666
163	0.3438329858
164	0.3414182574
165	0.3399162981
166	0.3381945828
167	0.3365353615
168	0.3344770515
169	0.3331093532
170	0.3313055279
171	0.329371657
172	0.3282598552
173	0.3263733271
174	0.3257224404
175	0.3243443425
176	0.3231567484
177	0.32137435
178	0.3202613749
179	0.3189248537
180	0.3173612137
181	0.3160630479
182	0.3146942227
183	0.3140424218
184	0.3131279157
185	0.3120093192
186	0.310982119
187	0.3097727604
188	0.3090840796
189	0.3084898487
190	0.307574374
191	0.3067034948
192	0.3054193212
193	0.3043402464
194	0.3037874842
195	0.3030500075
196	0.3017261973
197	0.3009912107
198	0.3001657549
199	0.2996519738
200	0.2983984674
201	0.2977988656
202	0.2965434077
203	0.2953320978
204	0.2947758648
205	0.2943114029
206	0.293352837
207	0.292520606
208	0.2920113728
209	0.2915667355
210	0.2911373368
211	0.2905460319
212	0.2898614746
213	0.289072152
214	0.2884131552
215	0.2878359144
216	0.2875249121
217	0.2865854081
218	0.2860876992
219	0.2856766817
220	0.2852016666
221	0.2848008092
222	0.2841905599
223	0.2836928323
224	0.2832454246
225	0.2822617319
226	0.2812694891
227	0.280907188
228	0.2805241621
229	0.2795335928
230	0.2779727055
231	0.2769213937
232	0.2755357326
233	0.2750759794
234	0.2746660797
235	0.2740213903
236	0.2736262595
237	0.2732482896
238	0.2727848168
239	0.2723543056
240	0.2716391616
241	0.2708907438
242	0.2701379508
243	0.2697137733
244	0.2693533926
245	0.2687638142
246	0.2684160274
247	0.2680069292
248	0.2675923409
249	0.2672261308
250	0.266890444
251	0.2665349463
252	0.2662325502
253	0.26592372
254	0.2656624481
255	0.2653401654
256	0.2649448534
257	0.2646475363
258	0.2637615155
259	0.2633148304
260	0.2629283839
261	0.262605784
262	0.2622969852
263	0.2618103478
264	0.2615868758
265	0.2613313077
266	0.2604157262
267	0.2601822379
268	0.2596833214
269	0.2593108817
270	0.2586773586
271	0.2582713227
272	0.2579068736
273	0.2576887463
274	0.2568640029
275	0.2565957165
276	0.25628495
277	0.256054983
278	0.2555980553
279	0.2552662346
280	0.2546297158
281	0.254437669
282	0.2539235004
283	0.2535017486
284	0.2529197369
285	0.25266805
286	0.2522657026
287	0.2520110274
288	0.2517314453
289	0.2513231752
290	0.2511228944
291	0.2509334518
292	0.2507360745
293	0.2505499369
294	0.2499772882
295	0.2497785975
296	0.2486810539
297	0.248132108
298	0.247164237
299	0.2468800375
300	0.2467242304
301	0.2463355459
302	0.2457142763
303	0.2444031972
304	0.2440567863
305	0.2437047873
306	0.2431510481
307	0.2430068355
308	0.2427817849
309	0.2413190232
310	0.2407540961
311	0.2403270768
312	0.2401085943
313	0.2398916872
314	0.239620256
315	0.2388127453
316	0.2379720148
317	0.2365597732
318	0.2363645002
319	0.2359613958
320	0.2357686106
321	0.2349564748
322	0.2347722753
323	0.2334924363
324	324	0.2028457325	325	0.2023810109
326	0.2022898408
327	0.2018160023
328	0.2015430207
329	0.2011531552
330	0.2006325876
331	0.2004976284
332	0.1996539934
333	0.1995571515
334	0.1994377835
335	0.199095433
336	0.1987826735
337	0.1981425335
338	0.1978205247
339	0.1977252736
340	0.1970832831
341	0.196413401
342	0.1956595267
343	0.1950826098
344	0.1946591959
345	0.1941524705
346	0.1940606194
347	0.1935495989
348	0.1934474485
349	0.1928747349
350	0.1927555901
351	0.1921873492
352	0.1918580883
353	0.191642309
354	0.1914309032
355	0.1907013783
356	0.1902742971
357	0.1897858914
358	0.1893032499
359	0.1890967012
360	0.1890006231
361	0.1885663425
362	0.1879405733
363	0.1873114099
364	0.1870184516
365	0.1866078173
366	0.1861243025
367	0.1858775914
368	0.1857460698
369	0.1856561516
370	0.1849918655
371	0.1847028616
372	0.1845342152
373	0.184430456
374	0.1840438604
375	0.183882393
376	0.1832292466
377	0.1831523904
378	0.1825037092
379	0.1818795554
380	0.1816601475
381	0.1815719348
382	0.1812694309
383	0.1807111343
384	0.1806254095
385	0.1801522309
386	0.1797306375
387	0.1796328035
388	0.1791766005
389	0.17908908
390	0.1789665255
391	0.178769135
392	0.1779914727
393	0.1774726384
394	0.1770306322
395	0.1768291931
396	0.1767655925
397	0.1762760405
398	0.1759047425
399	0.1753493355
400	0.1748964021
401	0.174275847
402	0.1740528355
403	0.1738166321
404	0.1732566307
405	0.1731568045
406	0.1728020609
407	0.1723455487
408	0.1719730918
409	0.1714589487
410	0.1711995018
411	0.1704622372
412	0.1698549113
413	0.1693381843
414	0.1686600582
415	0.1678551447
416	0.1673270746
