iter	Passed	Remaining
0	143	143639
1	144	72144
2	145	48296
3	146	36358
4	147	29267
5	151	25019
6	156	22151
7	158	19684
8	162	17942
9	166	16508
10	170	15286
11	173	14273
12	177	13480
13	178	12573
14	179	11799
15	186	11472
16	190	11033
17	192	10522
18	194	10030
19	198	9743
20	204	9532
21	206	9184
22	210	8952
23	212	8657
24	213	8335
25	217	8156
26	219	7911
27	223	7763
28	225	7539
29	227	7345
30	231	7233
31	233	7054
32	234	6879
33	238	6774
34	240	6622
35	244	6556
36	248	6466
37	251	6355
38	253	6249
39	255	6123
40	259	6072
41	264	6030
42	267	5961
43	271	5893
44	272	5787
45	274	5690
46	277	5625
47	279	5548
48	281	5456
49	281	5355
50	284	5298
51	285	5208
52	288	5160
53	292	5126
54	293	5044
55	295	4980
56	300	4967
57	301	4898
58	304	4848
59	307	4823
60	309	4757
61	312	4725
62	314	4678
63	316	4622
64	321	4631
65	325	4610
66	329	4581
67	332	4554
68	334	4511
69	336	4467
70	337	4416
71	341	4400
72	343	4356
73	346	4335
74	348	4301
75	353	4303
76	355	4265
77	359	4247
78	363	4234
79	367	4228
80	369	4189
81	370	4142
82	374	4139
83	375	4100
84	379	4084
85	382	4060
86	384	4035
87	388	4021
88	389	3986
89	395	3998
90	399	3991
91	402	3975
92	403	3937
93	406	3917
94	407	3879
95	409	3859
96	414	3854
97	414	3818
98	416	3789
99	419	3773
100	420	3746
101	422	3723
102	427	3723
103	429	3703
104	431	3676
105	434	3667
106	437	3654
107	439	3627
108	441	3611
109	446	3613
110	448	3588
111	453	3591
112	453	3561
113	455	3536
114	459	3534
115	460	3511
116	461	3482
117	462	3454
118	465	3447
119	467	3430
120	469	3410
121	473	3404
122	475	3393
123	480	3391
124	481	3370
125	482	3347
126	485	3336
127	488	3327
128	489	3302
129	491	3287
130	494	3281
131	495	3256
132	495	3231
133	497	3217
134	500	3206
135	504	3207
136	508	3205
137	512	3201
138	516	3197
139	520	3199
140	523	3187
141	526	3180
142	527	3160
143	530	3150
144	535	3154
145	537	3143
146	541	3141
147	542	3121
148	544	3108
149	547	3099
150	549	3087
151	553	3086
152	555	3072
153	556	3056
154	560	3057
155	566	3062
156	568	3051
157	569	3035
158	573	3031
159	576	3024
160	576	3006
161	580	3001
162	583	2994
163	588	2997
164	594	3006
165	596	2994
166	600	2995
167	607	3007
168	610	3002
169	614	2998
170	617	2994
171	621	2992
172	624	2983
173	627	2980
174	630	2971
175	631	2958
176	635	2953
177	637	2942
178	641	2943
179	643	2931
180	645	2919
181	647	2911
182	650	2904
183	652	2891
184	655	2885
185	659	2888
186	662	2878
187	663	2865
188	664	2851
189	665	2836
190	675	2860
191	678	2854
192	682	2853
193	685	2848
194	687	2838
195	689	2826
196	690	2813
197	692	2803
198	695	2799
199	697	2788
200	702	2793
201	704	2781
202	708	2780
203	710	2771
204	711	2760
205	713	2750
206	716	2743
207	719	2738
208	722	2735
209	723	2720
210	726	2715
211	729	2709
212	731	2701
213	731	2688
214	735	2684
215	736	2674
216	737	2660
217	739	2652
218	744	2655
219	747	2650
220	751	2647
221	752	2637
222	755	2633
223	757	2624
224	758	2612
225	762	2610
226	765	2605
227	769	2604
228	771	2597
229	776	2598
230	779	2593
231	782	2590
232	784	2583
233	787	2576
234	790	2573
235	792	2566
236	795	2562
237	798	2556
238	800	2547
239	804	2547
240	806	2540
241	809	2534
242	812	2532
243	815	2526
244	817	2518
245	819	2510
246	822	2508
247	825	2502
248	826	2491
249	827	2481
250	829	2474
251	831	2468
252	836	2469
253	837	2460
254	841	2458
255	843	2451
256	845	2443
257	846	2435
258	847	2425
259	849	2418
260	850	2407
261	851	2399
262	853	2392
263	856	2387
264	860	2385
265	862	2380
266	863	2370
267	864	2361
268	869	2362
269	872	2360
270	875	2355
271	881	2359
272	886	2360
273	890	2358
274	893	2356
275	896	2351
276	897	2342
277	898	2332
278	899	2323
279	900	2314
280	901	2305
281	902	2296
282	903	2288
283	904	2279
284	905	2271
285	906	2261
286	907	2253
287	908	2244
288	909	2236
289	910	2228
290	911	2219
291	912	2211
292	913	2203
293	914	2195
294	915	2187
295	916	2179
296	917	2171
297	918	2163
298	919	2154
299	920	2147
300	921	2138
301	922	2131
302	922	2122
303	923	2115
304	924	2107
305	925	2099
306	926	2091
307	927	2083
308	928	2075
309	928	2067
